Figure 1. Energy-related carbon dioxide emissions 1990–2017
https://www.eia.gov/environment/emissions/carbon/
01:47:43 GMT-0500 (EST)
<b>Source:</b> U.S. Energy Information Administration, August 2018 <i>Monthly Energy Review</i>.
Category,percent change  percent change,total energy CO2 million metric tons of CO2
1990,-0.6,5038
1991,-0.9,4993
1992,1.9,5090
1993,1.8,5184
1994,1.5,5261
1995,1.2,5324
1996,3.5,5511
1997,1.3,5584
1998,1,5637
1999,0.9,5690
2000,3.1,5867
2001,-1.8,5762
2002,0.7,5805
2003,0.9,5855
2004,2,5971
2005,0.4,5992
2006,-1.3,5912
2007,1.6,6005
2008,-3.2,5815
2009,-7.2,5396
2010,3.6,5591
2011,-2.5,5454
2012,-3.9,5243
2013,2.5,5372
2014,0.9,5419
2015,-2.7,5274
2016,-1.6,5189
2017,-0.9,5142
