,description,year,value
0,Biomass total consumption,1960,2639742
1,Biomass total consumption,1961,2589519
2,Biomass total consumption,1962,2600484
3,Biomass total consumption,1963,2646631
4,Biomass total consumption,1964,2673606
5,Biomass total consumption,1965,2669521
6,Biomass total consumption,1966,2737971
7,Biomass total consumption,1967,2680500
8,Biomass total consumption,1968,2838992
9,Biomass total consumption,1969,2880977
10,Biomass total consumption,1970,2861922
11,Biomass total consumption,1971,2864643
12,Biomass total consumption,1972,3006126
13,Biomass total consumption,1973,3058137
14,Biomass total consumption,1974,3079325
15,Biomass total consumption,1975,2997467
16,Biomass total consumption,1976,3426747
17,Biomass total consumption,1977,3676666
18,Biomass total consumption,1978,4075215
19,Biomass total consumption,1979,4303812
20,Biomass total consumption,1980,4943381
21,Biomass total consumption,1981,5199494
22,Biomass total consumption,1982,5329485
23,Biomass total consumption,1983,5808827
24,Biomass total consumption,1984,5943205
25,Biomass total consumption,1985,6032465
26,Biomass total consumption,1986,5864188
27,Biomass total consumption,1987,5755149
28,Biomass total consumption,1988,6032096
29,Biomass total consumption,1989,6318707
30,Biomass total consumption,1990,5473963
31,Biomass total consumption,1991,5563597
32,Biomass total consumption,1992,5863344
33,Biomass total consumption,1993,5812012
34,Biomass total consumption,1994,6055062
35,Biomass total consumption,1995,6202279
36,Biomass total consumption,1996,6313609
37,Biomass total consumption,1997,6205676
38,Biomass total consumption,1998,5854976
39,Biomass total consumption,1999,5926588
40,Biomass total consumption,2000,6016458
41,Biomass total consumption,2001,5250788
42,Biomass total consumption,2002,5397029
43,Biomass total consumption,2003,5609451
44,Biomass total consumption,2004,6009199
45,Biomass total consumption,2005,6201279
46,Biomass total consumption,2006,6456813
47,Biomass total consumption,2007,6877660
48,Biomass total consumption,2008,7622932
49,Biomass total consumption,2009,7796036
50,Biomass total consumption,2010,8742630
51,Biomass total consumption,2011,8838752
52,Biomass total consumption,2012,8745393
53,Biomass total consumption,2013,9283507
54,Biomass total consumption,2014,9583057
55,Biomass total consumption,2015,9359597
56,Biomass total consumption,2016,9238416
