,Year,EnergyConsumption
0,1960.0,84270432.0
1,1961.0,85518921.0
2,1962.0,89368508.0
3,1963.0,93067251.0
4,1964.0,97129499.0
5,1965.0,101215093.0
6,1966.0,107101238.0
7,1967.0,110328502.0
8,1968.0,117039988.0
9,1969.0,122761044.0
10,1970.0,126966426.0
11,1971.0,129064948.0
12,1972.0,135478037.0
13,1973.0,140785801.0
14,1974.0,135668453.0
15,1975.0,130730024.0
16,1976.0,138269799.0
17,1977.0,142007137.0
18,1978.0,143600338.0
19,1979.0,145703084.0
20,1980.0,140098914.0
21,1981.0,135596743.0
22,1982.0,128033057.0
23,1983.0,126534050.0
24,1984.0,133139287.0
25,1985.0,132615692.0
26,1986.0,132315171.0
27,1987.0,137126592.0
28,1988.0,143342686.0
29,1989.0,145960759.0
30,1990.0,144943588.0
31,1991.0,143965885.0
32,1992.0,146972753.0
33,1993.0,149994836.0
34,1994.0,152881085.0
35,1995.0,154979539.0
36,1996.0,160047382.0
37,1997.0,162371522.0
38,1998.0,163068097.0
39,1999.0,165132450.0
40,2000.0,169777946.0
41,2001.0,166158442.0
42,2002.0,167772962.0
43,2003.0,168487153.0
44,2004.0,171963274.0
45,2005.0,172147682.0
46,2006.0,170051626.0
47,2007.0,173113767.0
48,2008.0,168018860.0
49,2009.0,158112488.0
50,2010.0,164044043.0
51,2011.0,161206980.0
52,2012.0,157288771.0
53,2013.0,161405347.0
54,2014.0,163060043.0
55,2015.0,161327241.0
56,2016.0,159873947.0
0,2017.0,160006185.2029013
1,2018.0,160478404.63977984
2,2019.0,160784348.19451305
3,2020.0,161236343.30996522
4,2021.0,161669377.07785964
5,2022.0,162108606.9502802
6,2023.0,162534291.52522153
7,2024.0,162949678.3850727
8,2025.0,163354769.9056242
9,2026.0,163750991.75490102
10,2027.0,164138981.87153333
11,2028.0,164519173.29465556
12,2029.0,164891815.32988262
13,2030.0,165257113.37976345
14,2031.0,165615262.3221968
15,2032.0,165966459.23793957
16,2033.0,166310900.70196447
17,2034.0,166648779.29268458
18,2035.0,166980281.31906968
19,2036.0,167305586.11250263
20,2037.0,167624866.11802033
21,2038.0,167938287.26768625
22,2039.0,168246009.37260705
23,2040.0,168548186.46001533
24,2041.0,168844967.05670166
25,2042.0,169136494.4378116
26,2043.0,169422906.85556385
27,2044.0,169704337.7551542
28,2045.0,169980915.98041493
29,2046.0,170252765.9698434
30,2047.0,170520007.9431579
31,2048.0,170782758.078619
32,2049.0,171041128.68150246
33,2050.0,171295228.34419307
34,2051.0,171545162.09838015
35,2052.0,171791031.55981606
36,2053.0,172032935.06606525
37,2054.0,172270967.80764064
38,2055.0,172505221.95289546
39,2056.0,172735786.76701474
40,2057.0,172962748.7254293
41,2058.0,173186191.6219539
42,2059.0,173406196.67193452
43,2060.0,173622842.61067048
44,2061.0,173836205.7873629
45,2062.0,174046360.25482422
46,2063.0,174253377.8551708
47,2064.0,174457328.3017065
48,2065.0,174658279.25719377
49,2066.0,174856296.40869612
50,2067.0,175051443.53916678
51,2068.0,175243782.59594667
52,2069.0,175433373.75632676
53,2070.0,175620275.49032015
54,2071.0,175804544.62078166
55,2072.0,175986236.38100493
56,2073.0,176165404.4699193
57,2074.0,176342101.10500237
58,2075.0,176516377.07301846
59,2076.0,176688281.7786853
60,2077.0,176857863.29136813
61,2078.0,177025168.38989305
62,2079.0,177190242.60556805
63,2080.0,177353130.263494
64,2081.0,177513874.5222454
65,2082.0,177672517.4119945
66,2083.0,177829099.87115
67,2084.0,177983661.7815777
68,2085.0,178136242.0024662
69,2086.0,178286878.4028981
70,2087.0,178435607.89318466
71,2088.0,178582466.45501763
72,2089.0,178727489.17049044
73,2090.0,178870710.25003776
74,2091.0,179012163.05934024
75,2092.0,179151880.14523873
76,2093.0,179289893.26070043
77,2094.0,179426233.3888772
78,2095.0,179560930.7662941
79,2096.0,179694014.9052048
80,2097.0,179825514.61514857
81,2098.0,179955458.02374193
82,2099.0,180083872.59673634
83,2100.0,180210785.15737203
84,2101.0,180336221.9050569
85,2102.0,180460208.43339717
86,2103.0,180582769.74760672
87,2104.0,180703930.2813191
88,2105.0,180823713.91282657
89,2106.0,180942143.98076853
90,2107.0,181059243.29929128
91,2108.0,181175034.1726994
92,2109.0,181289538.40961874
