year,nuclear,geo,bio,hydro,wind,solar
1960,12053.0,718.0,2639742.0,3215951.0,0,0
1961,39356.0,2002.0,2589519.0,3312930.0,0,0
1962,52788.0,2122.0,2600484.0,3632280.0,0,0
1963,76294.0,3520.0,2646631.0,3542712.0,0,0
1964,79639.0,4264.0,2673606.0,3772628.0,0,0
1965,86329.0,3956.0,2669521.0,4118152.0,0,0
1966,128316.0,3916.0,2737971.0,4123035.0,0,0
1967,176912.0,6600.0,2680500.0,4693329.0,0,0
1968,283068.0,9064.0,2838992.0,4697256.0,0,0
1969,307444.0,12844.0,2880977.0,5295961.0,0,0
1970,478695.0,11022.0,2861922.0,5267094.0,0,0
1971,825878.0,11478.0,2864643.0,5648299.0,0,0
1972,1167503.0,30158.0,3006126.0,5727729.0,0,0
1973,1820355.0,40844.0,3058137.0,5722896.0,0,0
1974,2544168.0,51220.0,3079325.0,6353162.0,0,0
1975,3799596.0,67560.0,2997467.0,6309213.0,0,0
1976,4222241.0,75026.0,3426747.0,5952525.0,0,0
1977,5403522.0,74764.0,3676666.0,4666505.0,0,0
1978,6048252.0,61702.0,4075215.0,5873970.0,0,0
1979,5551656.0,80524.0,4303812.0,5861373.0,0,0
1980,5478339.0,105398.0,4943381.0,5800284.0,0,0
1981,6015177.0,118874.0,5199494.0,5515935.0,0,0
1982,6262296.0,101254.0,5329485.0,6531119.0,0,0
1983,6405097.0,127820.0,5808827.0,7054523.0,0,0
1984,7105062.0,161622.0,5943205.0,6771624.0,0,0
1985,8151127.0,194842.0,6032465.0,5940385.0,0,0
1986,8760216.0,215355.0,5864188.0,6142360.0,0,0
1987,9507866.0,224539.0,5755149.0,5269017.0,0,0
1988,11173935.0,212677.0,6032096.0,4668529.0,0,0
1989,11204322.0,323093.0,6318707.0,5674526.0,0,0
1990,12208698.0,341493.0,5473963.0,6092780.0,0,0
1991,12844265.0,355252.0,5563597.0,6031883.0,0,0
1992,12958412.0,357400.0,5863344.0,5234871.0,0,0
1993,12821004.0,371145.0,5812012.0,5783227.0,0,0
1994,13387752.0,346955.0,6055062.0,5366913.0,0,0
1995,14150872.0,304112.0,6202279.0,6410621.0,0,0
1996,14173348.0,326714.0,6313609.0,7179316.0,0,0
1997,13193983.0,333197.0,6205676.0,7280913.0,0,0
1998,14135616.0,336962.0,5854976.0,6594107.0,0,0
1999,15220516.0,343772.0,5926588.0,6535150.0,0,0
2000,15724696.0,328797.0,6016458.0,5622233.0,0,0
2001,16057707.0,328921.0,5250788.0,4483713.0,0,0
2002,16290859.0,342330.0,5397029.0,5378036.0,0,0
2003,15919244.0,346891.0,5609451.0,5585079.0,0,0
2004,16445547.0,356296.0,6009199.0,5376938.0,0,0
2005,16321620.0,361404.0,6201279.0,5405886.0,356176.0,0
2006,16429253.0,362396.0,6456813.0,5738068.0,527477.0,0
2007,16917174.0,371548.0,6877660.0,4892777.0,681006.0,0
2008,16852980.0,384867.0,7622932.0,5022216.0,1091096.0,0
2009,16710443.0,400371.0,7796036.0,5337648.0,1442257.0,0
2010,16868864.0,415959.0,8742630.0,5077082.0,1846856.0,180971.0
2011,16537398.0,424623.0,8838752.0,6205705.0,2335269.0,222262.0
2012,16123644.0,423183.0,8745393.0,5257402.0,2680118.0,313697.0
2013,16488866.0,428012.0,9283507.0,5124762.0,3202716.0,449045.0
2014,16675118.0,428981.0,9583057.0,4933152.0,3455086.0,673878.0
2015,16673774.0,423672.0,9359597.0,4642355.0,3554612.0,851454.0
2016,16853503.0,419207.0,9238416.0,4944886.0,3871342.5181642342,1137332.0
2017,17116722.78144958,425757.00425160344,9314596.530343875,4941337.627639955,4192724.04557868,1188041.0
2018,17338698.671613004,433108.6715095946,9420030.038582139,4976573.172876913,4511807.875747645,1348314.1428571343
2019,17590727.85464053,440217.6474029441,9535016.843436986,5006894.331846763,4832026.817103854,1508587.2857142687
2020,17875300.249300983,447572.11329896195,9652115.54156745,5037838.202339294,5151684.98945103,1668860.428571403
2021,18155186.468598925,454977.4115583338,9769769.487237198,5068703.167833438,5471620.193585952,1829133.5714285374
2022,18439178.85581397,462373.34467293415,9887557.966941945,5099578.131534687,5791418.538140217,1989406.7142856717
2023,18733033.59105455,469773.3822409266,10005380.290580923,5130451.828343504,6111284.494230941,2149679.857142806
2024,19027881.150657907,477175.4242955038,10123210.980772324,5161325.685682746,6431117.048788207,2309953.0
2025,19323292.01872753,484577.27328152244,10241043.756032167,5192199.522680862,6750966.104411649,2470226.1428571343
2026,19621332.0640728,491979.15223311307,10358877.048978787,5223073.362256442,7070807.008158312,2630499.2857142687
2027,19920259.83757029,499381.0929297275,10476710.470681429,5253947.201505427,7390651.939105054,2790772.428571403
2028,20219359.31641576,506783.0331627392,10594543.924381765,5284821.040795796,7710494.880529517,2951045.5714285374
2029,20519117.37631062,514184.9722568424,10712377.386036946,5315694.880080921,8030338.804820196,3111318.7142856717
2030,20819261.406212408,521586.9128988833,10830210.849669412,5346568.71936671,8350182.243554112,3271591.857142806
2031,21119498.28122175,528988.8537031962,10948044.3137934,5377442.558652415,8670025.92216337,3431865.0
2032,21419900.32159625,536390.794444551,11065877.778039569,5408316.39793813,8989869.48226912,3592138.1428571343
2033,21720437.754387457,543792.7352162814,11183711.242316108,5439190.237223845,9309713.100918116,3752411.2857142687
2034,22021021.281634055,551194.6759969819,11301544.706600197,5470064.0765095595,9629556.690645507,3912684.428571403
2035,22321649.10735721,558596.6167758928,11419378.170886163,5500937.915795274,9949400.294660784,4072957.5714285374
2036,22622319.89617274,565998.5575551725,11537211.635172594,5531811.755080989,10269243.891617542,4233230.714285672
2037,22923010.254028726,573400.498334778,11655045.099459143,5562685.594366703,10589087.492061358,4393503.857142806
2038,23223713.82746395,580802.4391143542,11772878.56374572,5593559.433652418,10908931.090782493,4553777.0
2039,23524430.439196065,588204.3798939276,11890712.028032305,5624433.272938132,11228774.69035467,4714050.142857134
2040,23825154.45638237,595606.3206735103,12008545.492318891,5655307.112223847,11548618.289506413,4874323.285714269
2041,24125882.80050671,603008.2614530931,12126378.956605477,5686180.951509561,11868461.88886586,5034596.428571403
2042,24426615.06982397,610410.2022326756,12244212.420892064,5717054.790795276,12188305.488122698,5194869.571428537
2043,24727349.935033202,617812.1430122583,12362045.88517865,5747928.6300809905,12508149.087430228,5355142.714285672
2044,25028086.28716997,625214.083791841,12479879.349465236,5778802.469366705,12827992.686712714,5515415.857142806
2045,25328823.84003854,632616.0245714238,12597712.813751822,5809676.30865242,13147836.286007572,5675689.0
2046,25629562.26029996,640017.9653510065,12715546.278038409,5840550.147938134,13467679.885296319,5835962.142857134
2047,25930301.196593106,647419.9061305892,12833379.742324995,5871423.987223849,13787523.484588085,5996235.285714269
2048,26231040.510229502,654821.8469101719,12951213.206611581,5902297.826509563,14107367.083878359,6156508.428571403
2049,26531780.106112286,662223.7876897546,13069046.670898167,5933171.665795278,14427210.683169369,6316781.571428537
2050,26832519.879296236,669625.7284693373,13186880.135184754,5964045.505080992,14747054.282460015,6477054.714285672
2051,27133259.77419727,677027.66924892,13304713.59947134,5994919.344366707,15066897.88175084,6637327.857142806
2052,27433999.759945843,684429.6100285028,13422547.063757926,6025793.183652421,15386741.481041579,6797601.0
2053,27734739.805652615,691831.5508080855,13540380.528044512,6056667.022938136,15706585.08033236,6957874.142857134
2054,28035479.891344327,699233.4915876682,13658213.992331099,6087540.862223851,16026428.67962312,7118147.285714269
